ANNO;AteneoCOD;AteneoNOME;AteneoREGIONE;AteneoAREAGEO;CorsoTIPO;COD_FoET2013;DESC_FoET2013;Genere;DOTTORI
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Dottorato di ricerca;5;Natural sciences, mathematics and statistics;F;20
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Dottorato di ricerca;7;Engineering, manufacturing and construction;M;192
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Dottorato di ricerca;9;Health and welfare;M;10
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Dottorato di ricerca;2;Arts and humanities;M;2
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Dottorato di ricerca;8;Agriculture, forestry, fisheries and veterinary;M;1
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Dottorato di ricerca;3;Social sciences, journalism and information;M;2
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Dottorato di ricerca;4;Business, administration and law;F;1
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Dottorato di ricerca;2;Arts and humanities;F;6
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Dottorato di ricerca;9;Health and welfare;M;19
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Dottorato di ricerca;5;Natural sciences, mathematics and statistics;F;8
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Dottorato di ricerca;8;Agriculture, forestry, fisheries and veterinary;F;3
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Dottorato di ricerca;4;Business, administration and law;M;1
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Dottorato di ricerca;9;Health and welfare;F;16
